"Código";"Nome Produto";"Un."
"F4ALM00394";"REDUÇÃO - 3´´P/2´´1/2 (5162)";"PC"
"F4ALM00395";"REDUÇÃO - 2´´1/2P/1´´1/2 (5162)";"PC"
"F4ALM00396";"REDUÇÃO - 1´´1/2P/ 1´´1/4 (5162)";"PC"
"F4ALM00397";"REDUÇÃO - 1´´1/2P/1/2 (5162)";"PC"
"F4ALM00398";"REDUÇÃO - 1´´P/ 3/4 (5162)";"PC"
"F4ALM00399";"REDUÇÃO - 1´´P/ 1/2 (5162)";"PC"
"F4ALM00400";"REDUÇÃO - 3/4 P/ 1/2 (5162)";"PC"
"F4ALM00401";"REDUÇÃO - 1 1/2 P/ 1´´ (5162)";"PC"
"F4ALM00402";"T - 1 1/5 (5162)";"PC"
"F4ALM00403";"T - 2´´1/2 (5162)";"PC"
"F4ALM00404";"T - 1´´ (5162)";"PC"
"F4ALM00405";"T - 3/4 (5162)";"PC"
"F4ALM00406";"T - 1/2 (5162)";"PC"
"F4ALM00407";"TAMPÃO - 1´´1/2 (5162)";"PC"
"F4ALM00408";"TAMPÃO - 3´´ (5162)";"PC"
"F4ALM00409";"TAMPÃO - 2´´ (5162)";"PC"
"F4ALM00410";"TAMPÃO - 1´´ (5162)";"PC"
"F4ALM00411";"UNIÃO - 2´´ (5162)";"PC"
"F4ALM00412";"UNIÃO - 1´´1/2 (5162)";"PC"
"F4ALM00413";"UNIÃO - 1´´ (5162)";"PC"
"F4ALM00414";"UNIÃO - 1/2 (5162)";"PC"
"F4ALM00415";"ESPIGÃO - 2 1/2 P 2 1/2 (5162)";"PC"
"F4ALM00416";"ESPIGÃO - 1 1/2 P/ 1/2 (5162)";"PC"
"F4ALM00417";"ESPIGÃO - 1 1 /4 P 1 1 /4 (5162)";"PC"
"F4ALM00418";"ESPIGÃO - 1´´ P 3/4 (5162)";"PC"
"F4ALM00419";"LUVA  - 3/8 (5162)";"PC"
"F4ALM00420";"NIPLE - 2´´ (5162)";"PC"
"F4ALM00421";"NIPLE - 3/8 (5162)";"PC"
"F4ALM00422";"REDUÇÃO - 2 1/2 P 2´´ (5162)";"PC"
"F4ALM00423";"REDUÇÃO - 1´´1/2 P/ 1 1/4 (5162)";"PC"
"F4ALM00424";"REDUÇÃO - 1 1/2 P/ 1/2 (5162)";"PC"
"F4ALM00425";"T - 3/8 (5162)";"PC"
"F4ALM00426";"TAMPÃO - 1/2 (5162)";"PC"
"F4ALM00427";"UNIÃO - 1 1/4 (5162)";"PC"
"F4ALM00428";"UNIÃO - 3/8 (5162)";"PC"
"F4ALM00429";"MANCAL P207 (5162)";"PC"
"F4ALM00430";"MANCAL P208 (5162)";"PC"
"F4ALM00431";"MANCAL P210 (5162)";"PC"
"F4ALM00432";"MANCAL P212 (5162)";"PC"
"F4ALM00433";"MANCAL UF002 (5162)";"PC"
"F4ALM00434";"MANCAL UFL204 (5162)";"PC"
"F4ALM00435";"MANCAL P206 (5162)";"PC"
"F4ALM00436";"MANCAL P204 (5162)";"PC"
"F4ALM00437";"MANCAL FL206 (5162)";"PC"
"F4ALM00438";"MANCAL F206 (5162)";"PC"
"F4ALM00439";"MANCAL T207 (5162)";"PC"
"F4ALM00440";"MANCAL P209 (5162)";"PC"
"F4ALM00441";"MANCAL PX08 (5162)";"PC"
"F4ALM00442";"MANCAL UCP204 (5162)";"PC"
"F4ALM00443";"MANCAL FL207 (5162)";"PC"
"F4ALM00444";"MANCAL F205 (5162)";"PC"
"F4ALM00445";"MANCAL FL204 (5162)";"PC"
"F4ALM00446";"MANCAL UFL0002 (5162)";"PC"
"F4ALM00662";"ABRAÇADEIRA NYLON - 13X540 (5162)";"PC"
"F4ALM00663";"ABRAÇADEIRA NYLON - 4,8X200 (5162)";"PC"
"F4ALM00664";"ABRAÇADEIRA NYLON - 2,5X200 (5162)";"PC"
"F4ALM00665";"ABRAÇADEIRA NYLON - 3,6X200 (5162)";"PC"
"F4ALM00666";"ABRAÇADEIRA NYLON - 3,6X140 (5162)";"PC"
"F4ALM00667";"ABRAÇADEIRA NYLON - 2,5X100 (5162)";"PC"
"F4ALM00668";"ABRAÇADEIRA NYLON - 300X4,8 (5162)";"PC"
"F4ALM00669";"ABRAÇADEIRA NYLON - 200X2,5 (5162)";"PC"
"F4ALM00670";"ABRAÇADEIRA NYLON - 140X3,8 (5162)";"PC"
"F4ALM00671";"ABRAÇADEIRA NYLON - 100X2,5 (5162)";"PC"
"F4ALM00672";"ABRAÇADEIRA NYLON - 4,8X390 (5162)";"PC"
"F4ALM00678";"CAIXA DE PASSAGEM - 1´´1/2 (5162)";"PC"
"F4ALM00679";"CAIXA DE PASSAGEM - 1´´ (5162)";"PC"
"F4ALM00680";"CAIXA DE PASSAGEM - 3/4 (5162)";"PC"
"F4ALM00681";"CONECTOR CURVO - 3/4 (5162)";"PC"
"F4ALM00682";"CONECTOR CURVO - 1/2 (5162)";"PC"
"F4ALM00683";"CURVA GALVANIZADA - 2´´ (5162)";"PC"
"F4ALM00684";"CURVA GALVANIZADA - 1´´ (5162)";"PC"
"F4ALM00685";"FIO - 4MM (5162)";"M"
"F4ALM00686";"FIO - 2,5MM (5162)";"M"
"F4ALM00687";"FIO - 1,5MM (5162)";"M"
"F4ALM00688";"FIO - 1MM (5162)";"M"
"F4ALM00689";"FIO - 6MM (5162)";"M"
"F4ALM00690";"FIO TERRA - 4MM (5162)";"M"
"F4ALM00691";"FIO TERRA - 2,5MM (5162)";"M"
"F4ALM00692";"FIO TERRA - 1,5MM (5162)";"M"
"F4ALM00693";"LAMPADAS - LED T8 (5162)";"PC"
"F4ALM00694";"LAMPADAS - 250/E40 (5162)";"PC"
"F4ALM00695";"LAMPADAS - T 5 LED (5162)";"PC"
"F4ALM00696";"LAMPADAS - BULBO A65/LED (5162)";"PC"
"F4ALM00697";"REATORES - 2X40W (5162)";"PC"
"F4ALM00698";"REATORES - 2X32 W (5162)";"PC"
"F4ALM00699";"REATORES - 2X30 (5162)";"PC"
"F4ALM00700";"REATORES - 1X110 (5162)";"PC"
"F4ALM00701";"REATORES - 2X44 (5162)";"PC"
"F4ALM00702";"PRENSA CABO - 1/8 (5162)";"PC"
"F4ALM00703";"PRENSA CABO - 3/8 (5162)";"PC"
"F4ALM00705";"PRENSA CABO - 3/4 (5162)";"PC"
"F4ALM00710";"PRENSA CABO - 1´´ (5162)";"PC"
"F4ALM00707";"CAIXA DE PASSAGEM - 1 1/2 (5162)";"PC"
"F4ALM00708";"SEAL TUBO - 1/2´´ (5162)";"PC"
"F4ALM00711";"SEAL TUBO - 1´´ (5162)";"PC"
"F4ALM00725";"SEAL TUBO - 3/4´´ (5162)";"PC"
"F4ALM00712";"LAMPADAS - 100W LED PHILIPS (5162)";"PC"
"F4ALM00714";"LAMPADAS - 10W T8 ALAXY (5162)";"PC"
"F4ALM00718";"LAMPADAS - 250W/OSRAM (5162)";"PC"
"F4ALM00727";"LAMPADAS - 400WW OSRAM (5162)";"PC"
"F4ALM00728";"LAMPADAS - 510W E 40 FLC (5162)";"PC"
"F4ALM00729";"LAMPADAS - E 27 (5162)";"PC"
"F4ALM00730";"LAMPADAS - T5/ FLUORESCENTE (5162)";"PC"
"F4ALM00731";"LAMPADAS - T8/840 LED PHILIPS (5162)";"PC"
"F4ALM00713";"CAIXA STECK - 102X102X55 (5162)";"PC"
"F4ALM00715";"CAIXA STECK - 154X110X70 (5162)";"PC"
"F4ALM00716";"LAMPADAS - 18W LED/1850 PHILIPS (5162)";"PC"
"F4ALM00717";"ABRAÇADEIRA NYLON - 200X4,8 (5162)";"PC"
"F4ALM00723";"ABRAÇADEIRA NYLON - 3,5X140 (5162)";"PC"
"F4ALM00724";"ABRAÇADEIRA NYLON - 3,7X200 (5162)";"PC"
"F4ALM00726";"ABRAÇADEIRA NYLON - 4,8X280 (5162)";"PC"
"F4ALM00719";"REATORES - 2X110W (5162)";"PC"
"F4ALM00720";"REATORES - 2X20/18W (5162)";"PC"
"F4ALM00721";"REATORES - 2X30X36-40W (5162)";"PC"
"F4ALM00722";"REATORES - 2X44/50/54W (5162)";"PC"
"F4ALM00735";"FITA ISOLANTE (5162)";"PC"
"F4ALM00736";"PLUG FEMEA (5162)";"PC"
"F4ALM00737";"PLUG MACHO (5162)";"PC"
"F4ALM00738";"RÉGUA P TOMADA (5162)";"PC"
"F4ALM00739";"TOMADAS 10A (5162)";"PC"
"F4ALM00447";"MOLA GAS - MG 06 349 0804 0450 K (5162)";"PC"
"F4ALM00448";"MOLA GAS - MG 06 349 0804 0350 K (5162)";"PC"
"F4ALM00449";"MOLA GAS - MG 06 349 0804 0950 K (5162)";"PC"
"F4ALM00450";"MOLA GAS - MG 02 220 0538 0250 I (5162)";"PC"
"F4ALM00451";"MOLA GAS - MG 02 163 0425 0400 I (5162)";"PC"
"F4ALM00452";"MOLA GAS - MG 02 0163 0425 0250 I (5162)";"PC"
"F4ALM00453";"MOLA GAS - MG 02 200 0498 0250 I (5162)";"PC"
"F4ALM00454";"MOLA GAS - MG 02 200 0498 0050 I (5162)";"PC"
"F4ALM00455";"MOLA GAS - MG 10 198 0474 0600 T (5162)";"PC"
"F4ALM00456";"MOLA GAS - 0826 94 0250 N (5162)";"PC"
"F4ALM00457";"MOLA GAS - MG 10 199 0474 0600T (5162)";"PC"
"F4ALM00458";"MOLA GAS - MG06 449 1004 550K (5162)";"PC"
"F4ALM00459";"MOLA GAS - MG06 470 1045 0250K (5162)";"PC"
"F4ALM00460";"ABAOLADO - 5X10 (5162)";"PC"
"F4ALM00461";"ABAOLADO - 5X20 (5162)";"PC"
"F4ALM00462";"ABAOLADO - 6X10 (5162)";"PC"
"F4ALM00463";"ABAOLADO - 6X15 (5162)";"PC"
"F4ALM00464";"ABAOLADO - 6X20 (5162)";"PC"
"F4ALM00465";"ABAOLADO - 8X25 (5162)";"PC"
"F4ALM00466";"ABAOLADO - 8X10 (5162)";"PC"
"F4ALM00467";"ABAOLADO - 8X15 (5162)";"PC"
"F4ALM00468";"ABAOLADO - 8X20 (5162)";"PC"
"F4ALM00469";"ABAOLADO - 8X25 (5162)";"PC"
"F4ALM00470";"ABAOLADO - 8X45 (5162)";"PC"
"F4ALM00471";"ABAOLADO - 10X15 (5162)";"PC"
"F4ALM00472";"ABAOLADO - 10X20 (5162)";"PC"
"F4ALM00473";"ABAOLADO - 10X25 (5162)";"PC"
"F4ALM00474";"CABEÇA RETA - 4X6 (5162)";"PC"
"F4ALM00476";"CABEÇA RETA - 5X8 (5162)";"PC"
"F4ALM00477";"CABEÇA RETA - 5X12 (5162)";"PC"
"F4ALM00478";"CABEÇA RETA - 5X15 (5162)";"PC"
"F4ALM00479";"CABEÇA RETA - 6X8 (5162)";"PC"
"F4ALM00480";"CABEÇA RETA - 6X10 (5162)";"PC"
"F4ALM00481";"CABEÇA RETA - 6X15 (5162)";"PC"
"F4ALM00482";"CABEÇA RETA - 6X20 (5162)";"PC"
"F4ALM00483";"CABEÇA RETA - 8X10 (5162)";"PC"
"F4ALM00484";"CABEÇA RETA - 8X15 (5162)";"PC"
"F4ALM00485";"CABEÇA RETA - 10MM (5162)";"PC"
"F4ALM00486";"CABEÇA RETA - 12MM (5162)";"PC"
"F4ALM00487";"PARABOULT - 1/4X2´´ (5162)";"PC"
"F4ALM00488";"PARABOULT - 5/16X2´´ (5162)";"PC"
"F4ALM00489";"PARABOULT - 3/8X2´´  (5162)";"PC"
"F4ALM00490";"PARAFUSO ALLEN - 4X20 (5162)";"PC"
"F4ALM00491";"PARAFUSO ALLEN - 4X10 (5162)";"PC"
"F4ALM00492";"PARAFUSO ALLEN - 4X15 (5162)";"PC"
"F4ALM00493";"PARAFUSO ALLEN - 4X50 (5162)";"PC"
"F4ALM00494";"PARAFUSO ALLEN - 5X10 (5162)";"PC"
"F4ALM00495";"PARAFUSO ALLEN - 5X15 (5162)";"PC"
"F4ALM00496";"PARAFUSO ALLEN - 5X20 (5162)";"PC"
"F4ALM00497";"PARAFUSO ALLEN - 5X40 (5162)";"PC"
"F4ALM00498";"PARAFUSO ALLEN - 5X60 (5162)";"PC"
"F4ALM00499";"PARAFUSO ALLEN - 5X30 (5162)";"PC"
"F4ALM00500";"PARAFUSO ALLEN - 5X100 (5162)";"PC"
"F4ALM00501";"PARAFUSO ALLEN - 5X80 (5162)";"PC"
"F4ALM00502";"PARAFUSO ALLEN - 6X10 (5162)";"PC"
"F4ALM00503";"PARAFUSO ALLEN - 6X15 (5162)";"PC"
"F4ALM00504";"PARAFUSO ALLEN - 6X20 (5162)";"PC"
"F4ALM00505";"PARAFUSO ALLEN - 6X25 (5162)";"PC"
"F4ALM00506";"PARAFUSO ALLEN - 6X30 (5162)";"PC"
"F4ALM00507";"PARAFUSO ALLEN - 6X35 (5162)";"PC"
"F4ALM00508";"PARAFUSO ALLEN - 6X40 (5162)";"PC"
"F4ALM00509";"PARAFUSO ALLEN - 6X50 (5162)";"PC"
"F4ALM00510";"PARAFUSO ALLEN - 6X60 (5162)";"PC"
"F4ALM00511";"PARAFUSO ALLEN - 6X70 (5162)";"PC"
"F4ALM00512";"PARAFUSO ALLEN - 6X120 (5162)";"PC"
"F4ALM00513";"PARAFUSO ALLEN - 8X10 (5162)";"PC"
"F4ALM00514";"PARAFUSO ALLEN - 8X15 (5162)";"PC"
"F4ALM00515";"PARAFUSO ALLEN - 8X20 (5162)";"PC"
"F4ALM00516";"PARAFUSO ALLEN - 8X25 (5162)";"PC"
"F4ALM00517";"PARAFUSO ALLEN - 8X30 (5162)";"PC"
"F4ALM00518";"PARAFUSO ALLEN - 8X35 (5162)";"PC"
"F4ALM00519";"PARAFUSO ALLEN - 8X40 (5162)";"PC"
"F4ALM00520";"PARAFUSO ALLEN - 8X50 (5162)";"PC"
"F4ALM00521";"PARAFUSO ALLEN - 8X80 (5162)";"PC"
"F4ALM00522";"PARAFUSO ALLEN - 3/16X3/4 (5162)";"PC"
"F4ALM00523";"PARAFUSO ALLEN - 5/16X25 (5162)";"PC"
"F4ALM00524";"PARAFUSO ALLEN - 5/16X30 (5162)";"PC"
"F4ALM00525";"PARAFUSO ALLEN - 10X20 (5162)";"PC"
"F4ALM00526";"PARAFUSO ALLEN - 10X25 (5162)";"PC"
"F4ALM00527";"PARAFUSO ALLEN - 10X30 (5162)";"PC"
"F4ALM00528";"PARAFUSO ALLEN - 10X40 (5162)";"PC"
"F4ALM00529";"PARAFUSO ALLEN - 10X45 (5162)";"PC"
"F4ALM00530";"PARAFUSO ALLEN - 10X50 (5162)";"PC"
"F4ALM00531";"PARAFUSO ALLEN - 10X70 (5162)";"PC"
"F4ALM00532";"PARAFUSO ALLEN - 3/8X18 (5162)";"PC"
"F4ALM00533";"PARAFUSO ALLEN - 3/8X25 (5162)";"PC"
"F4ALM00534";"PARAFUSO ALLEN - 3/8X37 (5162)";"PC"
"F4ALM00535";"PARAFUSO ALLEN - 3/8X50 (5162)";"PC"
"F4ALM00536";"PARAFUSO ALLEN - 3/8X55 (5162)";"PC"
"F4ALM00537";"PARAFUSO ALLEN - 12X25 (5162)";"PC"
"F4ALM00538";"PARAFUSO ALLEN - 12X30 (5162)";"PC"
"F4ALM00539";"PARAFUSO ALLEN - 12X40 (5162)";"PC"
"F4ALM00540";"PARAFUSO ALLEN - 12X50 (5162)";"PC"
"F4ALM00541";"PARAFUSO ALLEN - 12X60 (5162)";"PC"
"F4ALM00542";"PARAFUSO ALLEN - 1/2X2´´ (5162)";"PC"
"F4ALM00543";"PARAFUSO ALLEN - 1/2X115 (5162)";"PC"
"F4ALM00544";"PARAFUSO ALLEN - 14X40 (5162)";"PC"
"F4ALM00545";"PARAFUSO ALLEN - 14X70 (5162)";"PC"
"F4ALM00546";"PARAFUSO ALLEN - 14X50 (5162)";"PC"
"F4ALM00547";"PARAFUSO ALLEN - 16X25 (5162)";"PC"
"F4ALM00548";"PARAFUSO ALLEN - 16X40 (5162)";"PC"
"F4ALM00549";"PARAFUSO ALLEN - 16X60 (5162)";"PC"
"F4ALM00550";"PARAFUSO ALLEN - 16X70 (5162)";"PC"
"F4ALM00551";"PARAFUSO ALLEN - 5/8X52 (5162)";"PC"
"F4ALM00552";"PARAFUSO ALLEN - 5/8X70 (5162)";"PC"
"F4ALM00553";"PARAFUSO ALLEN - 5/8X100 (5162)";"PC"
"F4ALM00554";"PARAFUSO ALLEN - 20X60 (5162)";"PC"
"F4ALM00555";"PARAFUSO ALLEN - 20X150 (5162)";"PC"
"F4ALM00556";"PARAFUSO ALLEN - 22X110 (5162)";"PC"
"F4ALM00557";"PARAFUSO ALLEN - 24X200 (5162)";"PC"
"F4ALM00558";"PARAFUSO ALLEN - 5X25 (5162)";"PC"
"F4ALM00559";"PARAFUSO ALLEN - 5X50 (5162)";"PC"
"F4ALM00560";"PARAFUSO ALLEN - 4X25 (5162)";"PC"
"F4ALM00561";"PARAFUSO ALLEN - 20X120 (5162)";"PC"
"F4ALM00562";"PARAFUSO DO MOINHO (5162)";"PC"
"F4ALM00563";"SEM CABEÇA - 4MM (5162)";"PC"
"F4ALM00564";"SEM CABEÇA - 5MM (5162)";"PC"
"F4ALM00565";"SEM CABEÇA - 6MM (5162)";"PC"
"F4ALM00566";"SEM CABEÇA - 8MM (5162)";"PC"
"F4ALM00567";"SEM CABEÇA - 10MM (5162)";"PC"
"F4ALM00568";"SEM CABEÇA - 12MM (5162)";"PC"
"F4ALM00569";"SEXTAVADO - 5X10 (5162)";"PC"
"F4ALM00570";"SEXTAVADO - 5X20 (5162)";"PC"
"F4ALM00571";"SEXTAVADO - 5X25 (5162)";"PC"
"F4ALM00572";"SEXTAVADO - 6X40 (5162)";"PC"
"F4ALM00573";"SEXTAVADO - 8X15 (5162)";"PC"
"F4ALM00574";"SEXTAVADO - 8X25 (5162)";"PC"
"F4ALM00575";"SEXTAVADO - 8X45 (5162)";"PC"
"F4ALM00576";"SEXTAVADO - 8X50 (5162)";"PC"
"F4ALM00577";"SEXTAVADO - 8X80 (5162)";"PC"
"F4ALM00578";"SEXTAVADO - 3/8x20 (5162)";"PC"
"F4ALM00579";"SEXTAVADO - 3/8x60 (5162)";"PC"
"F4ALM00580";"SEXTAVADO - 10X15 (5162)";"PC"
"F4ALM00581";"SEXTAVADO - 10X25 (5162)";"PC"
"F4ALM00582";"SEXTAVADO - 10X30 (5162)";"PC"
"F4ALM00583";"SEXTAVADO - 10X35 (5162)";"PC"
"F4ALM00584";"SEXTAVADO - 10X37 (5162)";"PC"
"F4ALM00585";"SEXTAVADO - 10X40 (5162)";"PC"
"F4ALM00586";"SEXTAVADO - 10X50 (5162)";"PC"
"F4ALM00587";"SEXTAVADO - 10X45 (5162)";"PC"
"F4ALM00588";"SEXTAVADO - 10X55 (5162)";"PC"
"F4ALM00589";"SEXTAVADO - 10X60 (5162)";"PC"
"F4ALM00590";"SEXTAVADO - 10X80 (5162)";"PC"
"F4ALM00591";"SEXTAVADO - 12X30 (5162)";"PC"
"F4ALM00592";"SEXTAVADO - 12X25 (5162)";"PC"
"F4ALM00593";"SEXTAVADO - 12X35 (5162)";"PC"
"F4ALM00594";"SEXTAVADO - 12X40 (5162)";"PC"
"F4ALM00595";"SEXTAVADO - 12X60 (5162)";"PC"
"F4ALM00596";"SEXTAVADO - 12X80 (5162)";"PC"
"F4ALM00597";"SEXTAVADO - 12X100 (5162)";"PC"
"F4ALM00598";"SEXTAVADO - 12X130 (5162)";"PC"
"F4ALM00599";"SEXTAVADO - 1/2x1´´ (5162)";"PC"
"F4ALM00600";"SEXTAVADO - 14X30 (5162)";"PC"
"F4ALM00601";"SEXTAVADO - 14X40 (5162)";"PC"
"F4ALM00602";"SEXTAVADO - 16X190 (5162)";"PC"
"F4ALM00603";"SEXTAVADO - 16X60 (5162)";"PC"
"F4ALM00604";"SEXTAVADO C/ARRUELA - 6X25 (5162)";"PC"
"F4ALM00605";"PARAFUSO ALLEN - 1/2X85 (5162)";"PC"
"F4ALM00606";"SEXTAVADO - 10X20 (5162)";"PC"
"F4ALM00607";"PARAFUSO ALLEN - 10X35 (5162)";"PC"
"F4ALM00608";"SEXTAVADO - 12X110 (5162)";"PC"
"F4ALM00609";"SEXTAVADO - 12X180 (5162)";"PC"
"F4ALM00610";"CABEÇA RETA - 12X35 (5162)";"PC"
"F4ALM00611";"PARAFUSO ALLEN - 12X35 (5162)";"PC"
"F4ALM00612";"SEXTAVADO - 16X50 (5162)";"PC"
"F4ALM00613";"PARAFUSO ALLEN - 20X160 (5162)";"PC"
"F4ALM00614";"SEXTAVADO - 20X170 (5162)";"PC"
"F4ALM00615";"SEXTAVADO - 20X60 (5162)";"PC"
"F4ALM00616";"SEXTAVADO - 20X70 (5162)";"PC"
"F4ALM00617";"PARAFUSO ALLEN - 22X140 (5162)";"PC"
"F4ALM00618";"PARAFUSO ALLEN - 22X80 (5162)";"PC"
"F4ALM00619";"PARAFUSO ALLEN - 22X90 (5162)";"PC"
"F4ALM00620";"SEXTAVADO - 22X90 (5162)";"PC"
"F4ALM00621";"AUTO BROCANTE - 3/16X 1 1/2 (5162)";"PC"
"F4ALM00622";"AUTO BROCANTE - 3/16X1/2 (5162)";"PC"
"F4ALM00623";"AUTO BROCANTE - 3/16X3/4 (5162)";"PC"
"F4ALM00624";"SEXTAVADO - 3/16X3/4 (5162)";"PC"
"F4ALM00625";"PARAFUSO ALLEN - 3/8X52 (5162)";"PC"
"F4ALM00626";"PARAFUSO ALLEN - 3/8X56 (5162)";"PC"
"F4ALM00627";"PARAFUSO ALLEN - 3/8X62 (5162)";"PC"
"F4ALM00628";"PARAFUSO ALLEN - 3X16X3X4 (5162)";"PC"
"F4ALM00629";"ABAOLADO - 4X16 (5162)";"PC"
"F4ALM00630";"AUTO BROCANTE - 4X16 (5162)";"PC"
"F4ALM00631";"CABEÇA RETA - 4X16 (5162)";"PC"
"F4ALM00632";"CABEÇA RETA - 4X20 (5162)";"PC"
"F4ALM00633";"CABEÇA RETA - 4X35 (5162)";"PC"
"F4ALM00634";"PARAFUSO ALLEN - 4X35 (5162)";"PC"
"F4ALM00635";"PARAFUSO ALLEN - 4X40 (5162)";"PC"
"F4ALM00636";"PARABOULT - 5/16X 1 1/4 (5162)";"PC"
"F4ALM00637";"PARAFUSO ALLEN - 5/16X1´´ (5162)";"PC"
"F4ALM00638";"PARAFUSO ALLEN - 5/16X1X1/2 (5162)";"PC"
"F4ALM00639";"PARAFUSO ALLEN - 5/16X3/4 (5162)";"PC"
"F4ALM00640";"CABEÇA RETA - 5X10 (5162)";"PC"
"F4ALM00641";"ABAOLADO - 5X12 (5162)";"PC"
"F4ALM00642";"CABEÇA RETA - 5X20 (5162)";"PC"
"F4ALM00643";"SEXTAVADO - 6X15 (5162)";"PC"
"F4ALM00644";"CABEÇA RETA - 6X16 (5162)";"PC"
"F4ALM00645";"SEXTAVADO - 6X25 (5162)";"PC"
"F4ALM00646";"CABEÇA RETA - 6X30 (5162)";"PC"
"F4ALM00647";"CABEÇA RETA - 6X40 (5162)";"PC"
"F4ALM00648";"CABEÇA RETA - 6X5 (5162)";"PC"
"F4ALM00649";"CABEÇA RETA - 6X60 (5162)";"PC"
"F4ALM00650";"PARAFUSO ALLEN - 8X100 (5162)";"PC"
"F4ALM00651";"CABEÇA RETA - 8X20 (5162)";"PC"
"F4ALM00652";"CABEÇA RETA - 8X25 (5162)";"PC"
"F4ALM00653";"SEXTAVADO - 8X30 (5162)";"PC"
"F4ALM00654";"SEXTAVADO - 8X60 (5162)";"PC"
"F4ALM00655";"CABEÇA RETA - M10 (5162)";"PC"
"F4ALM00656";"SEM CABEÇA - M10 (5162)";"PC"
"F4ALM00657";"SEM CABEÇA - M12 (5162)";"PC"
"F4ALM00658";"SEM CABEÇA - M4 (5162)";"PC"
"F4ALM00659";"SEM CABEÇA - M5 (5162)";"PC"
"F4ALM00660";"SEM CABEÇA - M6 (5162)";"PC"
"F4ALM00661";"SEM CABEÇA - M8 (5162)";"PC"
"F4ALM00740";"ADAPTADOR SOLDÁVEL - 50X1 1/2 (5162)";"PC"
"F4ALM00741";"ADAPTADOR SOLDÁVEL - 60X2 (5162)";"PC"
"F4ALM00742";"ADAPTADOR  - 32X1 (5162)";"PC"
"F4ALM00743";"ADAPTADORES - 85X3 (5162)";"PC"
"F4ALM00744";"ADAPTADORES - 75X 2 1/2 (5162)";"PC"
"F4ALM00745";"ADAPTADOR - 60X2´´ (5162)";"PC"
"F4ALM00746";"ADAPTADORES - 50X1 1/2 (5162)";"PC"
"F4ALM00747";"ADAPTADORES - 50X1 1/4 (5162)";"PC"
"F4ALM00748";"ADAPTADOR - 40X 1 1/4 (5162)";"PC"
"F4ALM00749";"ADAPTADOR - 32X1 (5162)";"PC"
"F4ALM00750";"ADAPTADORES - 25X 3/4 (5162)";"PC"
"F4ALM00751";"CONEXÕES EM T - 85MM (5162)";"PC"
"F4ALM00752";"CONEXÕES EM T - 60MM (5162)";"PC"
"F4ALM00753";"CONEXÕES EM T - 50MM (5162)";"PC"
"F4ALM00754";"CONEXÕES EM T - 40MM (5162)";"PC"
"F4ALM00755";"CONEXÕES EM T - 32MM (5162)";"PC"
"F4ALM00756";"CONEXÕES EM T - 25MM (5162)";"PC"
"F4ALM00757";"COTOVELO - 25MM (5162)";"PC"
"F4ALM00758";"COTOVELO - 25X45º (5162)";"PC"
"F4ALM00759";"COTOVELO - 32MM (5162)";"PC"
"F4ALM00760";"COTOVELO - 32X45º (5162)";"PC"
"F4ALM00761";"COTOVELO - 40MM (5162)";"PC"
"F4ALM00762";"COTOVELO - 50MM (5162)";"PC"
"F4ALM00763";"COTOVELO - 50X45º (5162)";"PC"
"F4ALM00764";"COTOVELO - 60MM (5162)";"PC"
"F4ALM00765";"COTOVELO - 75MM (5162)";"PC"
"F4ALM00766";"COTOVELO - 85MM (5162)";"PC"
"F4ALM00767";"CURVA  - 32MM (5162)";"PC"
"F4ALM00768";"CURVA  - 50MM (5162)";"PC"
"F4ALM00769";"CURVA  - 75MM (5162)";"PC"
"F4ALM00770";"CURVA  - 90ºX40 (5162)";"PC"
"F4ALM00771";"LUVA - 25MM (5162)";"PC"
"F4ALM00772";"LUVA - 32MM (5162)";"PC"
"F4ALM00773";"LUVA - 40MM (5162)";"PC"
"F4ALM00774";"LUVA - 50MM (5162)";"PC"
"F4ALM00775";"LUVA - 60MM (5162)";"PC"
"F4ALM00776";"LUVA - 75MM (5162)";"PC"
"F4ALM00777";"LUVA - 85MM (5162)";"PC"
"F4ALM00778";"REDUÇÃO - 100X75 (5162)";"PC"
"F4ALM00779";"REDUÇÃO - 85X60 (5162)";"PC"
"F4ALM01260";"ADESIVO 3M P/JUNTAS (5162)";"PC"
"F4ALM01261";"ADESIVO EPOXI (5162)";"PC"
"F4ALM01262";"AGUA P/BATERIA (5162)";"LT"
"F4ALM01263";"ANEL DE VEDAÇÃO P/VASO (5162)";"PC"
"F4ALM01264";"ARALDITE (5162)";"PC"
"F4ALM01265";"BÓIA LATÃO 1/2 (5162)";"PC"
"F4ALM01266";"BÓIA LATÃO GRANDE (5162)";"PC"
"F4ALM01267";"DESINGRIPANTE (5162)";"PC"
"F4ALM01268";"DISCO DE CORTE 12´´ (5162)";"PC"
"F4ALM01269";"DISCO DE CORTE 4´´ (5162)";"PC"
"F4ALM01270";"DISCO DE CORTE 7´´ (5162)";"PC"
"F4ALM01271";"DISCO DE DESBASTE 4´´ (5162)";"PC"
"F4ALM01272";"DISCO DESBASTE 7´´ (5162)";"PC"
"F4ALM01273";"DUREPOXI (5162)";"PC"
"F4ALM01274";"MANGUEIRA PU 4MM (5162)";"M"
"F4ALM01275";"MANGUEIRA PU 6MM (5162)";"M"
"F4ALM01276";"MANGUEIRA PU 8MM (5162)";"M"
